created_at,full_text,source,lang
Tue Nov 16 15:15:46 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:15:43 +0000 2021,"@BaileyGeePoetry @MartinKearns20 @amazon I ordered your book, supposed to get here on Thursday.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:15:40 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:15:35 +0000 2021,"@RayneMillaray @amazon Do they? Or is it independent sellers? 

Because it’s normal for people — especially in other countries — to print items using drop shippers with whatever is trending, and simply use Amazon as their point of sale.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:15:29 +0000 2021,"@amazon - ""After reviewing your instructions, we observe that your instructions may be confusing for drivers""
My instructions - ""Please go through gate on right side of house and leave by the sliding doors in back."" https://t.co/mTpKRsYlyT","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:15:17 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:14:59 +0000 2021,@hazardscampaign Sharing: @Cargill @amazon @TysonFoods @Walmart https://t.co/31wLIzBXTZ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:14:27 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:14:15 +0000 2021,"RT @WeActRadio: Think Global Act Local but always @thinklocaldc 2nite 7pm
@Costco
#good @Walmart #bad @amazon pays $0 taxes! Stop giving #b…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:14:08 +0000 2021,"Another great campaign from the team, We are very proud to be working with @amazon by launching this recruitment campaign in 4 different locations in East and West Midlands.

Speak to us find out how we can create a similar impact on your brand visit: https://t.co/ylsXXsn3mI https://t.co/FnvW6OCCJo","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:13:51 +0000 2021,@AmazonAE @amazon item returned refund not issued customer support contacted many time failed to get the right infos can’t receive my money because item shows not collected who’s fault? Help,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:13:44 +0000 2021,@amazon is this a real? It actually does not matter what my instructions say because they don’t follow them. Lol. If there’s a package locker it would be common sense to put pckgs there instead of anywhere else. 🤷🏾‍♀️ Like how they leave them on the floor or outside. #AmazonPrime https://t.co/Sgvkk8UPgb,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
